Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed\
Kelly Olynyk\\olynyke01,MIA,11667885,12198243,,,,,Cap space,$11667885\
Kelly Oubre\\oubreke01,PHO,15625000,14375000,,,,,Bird Rights,$30000000\
Kemba Walker\\walkeke02,BOS,32742000,34379100,36016200,37653300,,,Sign and Trade,$103137300\
Kendrick Nunn\\nunnke01,MIA,1416852,1663861,,,,,Minimum Salary,$1416852\
Kenrich Williams\\willike04,NOP,1416852,,,,,,Minimum Salary,$1416852\
Kent Bazemore\\bazemke01,SAC,19269662,,,,,,Cap Space,$19269662\
Kentavious Caldwell-Pope\\caldwke01,LAL,8089282,8493746,,,,,Cap Space,$8089282\
Kevin Durant\\duranke01,BRK,37199000,39058950,40918900,42778850,,,Sign and Trade,$117176850\
Kevin Huerter\\huertke01,ATL,2636280,2761920,4253357,,,,1st Round Pick,$5398200\
Kevin Knox\\knoxke01,NYK,4380120,4588680,5845978,,,,1st Round Pick,$8968800\
Kevin Love\\loveke01,CLE,28900000,31300000,31300000,28900000,,,Bird Rights,$120400000\
Kevin Porter\\porteke02,CLE,1290960,2033160,2130240,3845083,,,1st Round Pick,$3324120\
Kevon Looney\\looneke01,GSW,4464286,4821429,5178572,,,,Bird Rights,$9285715\
